"荷印コード","荷印名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"5054",荷5054,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5055",荷5055,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5056",荷5056,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5057",荷5057,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5058",荷5058,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5059",荷5059,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5060",荷5060,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5061",荷5061,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5062",荷5062,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5063",荷5063,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5064",荷5064,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5065",荷5065,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5066",荷5066,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5067",荷5067,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5068",荷5068,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5069",荷5069,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5070",荷5070,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5071",荷5071,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5072",荷5072,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5073",荷5073,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5074",荷5074,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5075",荷5075,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5076",荷5076,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5077",荷5077,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5078",荷5078,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5079",荷5079,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5080",荷5080,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5081",荷5081,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5082",荷5082,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5083",荷5083,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5084",荷5084,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5085",荷5085,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5086",荷5086,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5087",荷5087,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5088",荷5088,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5089",荷5089,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5090",荷5090,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5091",荷5091,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5092",荷5092,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5093",荷5093,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5094",荷5094,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5095",荷5095,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5096",荷5096,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5097",荷5097,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5098",荷5098,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5099",荷5099,ﾆ509,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5100",荷5100,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5101",荷5101,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5102",荷5102,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5103",荷5103,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5104",荷5104,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5105",荷5105,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5106",荷5106,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5107",荷5107,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5108",荷5108,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5109",荷5109,ﾆ510,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5110",荷5110,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5111",荷5111,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5112",荷5112,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5113",荷5113,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5114",荷5114,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5115",荷5115,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5116",荷5116,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5117",荷5117,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5118",荷5118,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5119",荷5119,ﾆ511,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5120",荷5120,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5121",荷5121,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5122",荷5122,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5123",荷5123,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5124",荷5124,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5125",荷5125,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5126",荷5126,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5127",荷5127,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5128",荷5128,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5129",荷5129,ﾆ512,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5130",荷5130,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5131",荷5131,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5132",荷5132,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5133",荷5133,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5134",荷5134,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5135",荷5135,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5136",荷5136,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5137",荷5137,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5138",荷5138,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5139",荷5139,ﾆ513,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5140",荷5140,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5141",荷5141,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5142",荷5142,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5143",荷5143,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5144",荷5144,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5145",荷5145,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5146",荷5146,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5147",荷5147,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5148",荷5148,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5149",荷5149,ﾆ514,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5150",荷5150,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5151",荷5151,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5152",荷5152,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5153",荷5153,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5154",荷5154,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5155",荷5155,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5156",荷5156,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5157",荷5157,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5158",荷5158,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5159",荷5159,ﾆ515,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5161",荷5161,ﾆ516,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
