"等級コード","等級名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"062","等062","ﾄ062",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"063","等063","ﾄ063",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"064","等064","ﾄ064",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"065","等065","ﾄ065",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"066","等066","ﾄ066",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"067","等067","ﾄ067",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"068","等068","ﾄ068",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"069","等069","ﾄ069",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"070","等070","ﾄ070",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"071","等071","ﾄ071",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"072","等072","ﾄ072",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"073","等073","ﾄ073",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"074","等074","ﾄ074",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"075","等075","ﾄ075",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"076","等076","ﾄ076",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"077","等077","ﾄ077",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"078","等078","ﾄ078",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"079","等079","ﾄ079",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"080","等080","ﾄ080",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"081","等081","ﾄ081",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"082","等082","ﾄ082",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"083","等083","ﾄ083",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"084","等084","ﾄ084",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"085","等085","ﾄ085",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"086","等086","ﾄ086",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"087","等087","ﾄ087",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"088","等088","ﾄ088",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"089","等089","ﾄ089",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"090","等090","ﾄ090",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"091","等091","ﾄ091",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"092","等092","ﾄ092",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"093","等093","ﾄ093",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"094","等094","ﾄ094",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"095","等095","ﾄ095",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"096","等096","ﾄ096",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"097","等097","ﾄ097",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"098","等098","ﾄ098",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"099","等099","ﾄ099",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"500","等500","ﾄ500",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"501","等501","ﾄ501",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"502","等502","ﾄ502",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"503","等503","ﾄ503",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"504","等504","ﾄ504",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"510","等510","ﾄ510",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"511","等511","ﾄ511",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"512","等512","ﾄ512",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"513","等513","ﾄ513",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"514","等514","ﾄ514",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"515","等515","ﾄ515",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"516","等516","ﾄ516",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"517","等517","ﾄ517",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"518","等518","ﾄ518",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"519","等519","ﾄ519",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"520","等520","ﾄ520",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"523","等523","ﾄ523",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"524","等524","ﾄ524",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"525","等525","ﾄ525",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"526","等526","ﾄ526",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"527","等527","ﾄ527",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"528","等528","ﾄ528",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"529","等529","ﾄ529",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"530","等530","ﾄ530",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"531","等531","ﾄ531",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"532","等532","ﾄ532",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"533","等533","ﾄ533",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"534","等534","ﾄ534",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"540","等540","ﾄ540",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"541","等541","ﾄ541",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"542","等542","ﾄ542",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"543","等543","ﾄ543",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"544","等544","ﾄ544",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"545","等545","ﾄ545",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"546","等546","ﾄ546",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"547","等547","ﾄ547",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"548","等548","ﾄ548",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
